id,label
http://metadata.un.org/thesaurus#1004377,nervous system diseases
http://metadata.un.org/thesaurus#1002099,eponyms
http://metadata.un.org/thesaurus#1004823,personal names
http://metadata.un.org/thesaurus#1002105,equatorial guinea
http://metadata.un.org/thesaurus#1000879,central africa
http://metadata.un.org/thesaurus#170100,africa
http://metadata.un.org/thesaurus#1002114,eskimo languages
http://metadata.un.org/thesaurus#1006803,ural-altaic languages
http://metadata.un.org/thesaurus#1002115,esperanto
http://metadata.un.org/thesaurus#1000403,artificial languages
http://metadata.un.org/thesaurus#1002122,estonian language
http://metadata.un.org/thesaurus#1002123,estonians
http://metadata.un.org/thesaurus#1002121,estonia
http://metadata.un.org/thesaurus#1002137,ethylene oxide
http://metadata.un.org/thesaurus#1002145,eurocommunism
http://metadata.un.org/thesaurus#1002163,ewe language
http://metadata.un.org/thesaurus#1002164,ewe problem
http://metadata.un.org/thesaurus#1006537,togoland under british administration
http://metadata.un.org/thesaurus#1002175,executive orders
http://metadata.un.org/thesaurus#1002176,executive power
http://metadata.un.org/thesaurus#1002216,external debt reporting
http://metadata.un.org/thesaurus#021000,development finance
http://metadata.un.org/thesaurus#1002215,external debt
http://metadata.un.org/thesaurus#1002231,falkland islands (malvinas) question
http://metadata.un.org/thesaurus#1002230,falkland islands (malvinas)
http://metadata.un.org/thesaurus#1002235,family cycle
http://metadata.un.org/thesaurus#1002232,family
http://metadata.un.org/thesaurus#1002255,family statistics
http://metadata.un.org/thesaurus#1001568,demographic statistics
http://metadata.un.org/thesaurus#1002268,fast food restaurants
http://metadata.un.org/thesaurus#050900,tourism and related services
http://metadata.un.org/thesaurus#1005522,restaurants
http://metadata.un.org/thesaurus#1002279,federation of south arabia
http://metadata.un.org/thesaurus#170301,asia
http://metadata.un.org/thesaurus#1001561,democratic yemen
http://metadata.un.org/thesaurus#1002289,fenetylline
http://metadata.un.org/thesaurus#1005238,psychotropic substances
http://metadata.un.org/thesaurus#1002290,fennel
http://metadata.un.org/thesaurus#1002871,herbs
http://metadata.un.org/thesaurus#1002311,field crops
http://metadata.un.org/thesaurus#1001410,crops
http://metadata.un.org/thesaurus#1002316,figs
http://metadata.un.org/thesaurus#1002317,fiji
http://metadata.un.org/thesaurus#1004571,oceania
http://metadata.un.org/thesaurus#170302,oceania
http://metadata.un.org/thesaurus#1002318,fijian language
http://metadata.un.org/thesaurus#1002321,filipinos
http://metadata.un.org/thesaurus#1004875,philippines
http://metadata.un.org/thesaurus#1002348,finnish language
http://metadata.un.org/thesaurus#1002349,finns
http://metadata.un.org/thesaurus#1002347,finland
http://metadata.un.org/thesaurus#1002390,floating exchange rates
http://metadata.un.org/thesaurus#1002463,foreign exchange rates
http://metadata.un.org/thesaurus#1002407,fluorspar
http://metadata.un.org/thesaurus#1002449,foot and mouth disease
http://metadata.un.org/thesaurus#1000291,animal diseases
http://metadata.un.org/thesaurus#1002461,foreign exchange margins
http://metadata.un.org/thesaurus#1002458,foreign exchange
http://metadata.un.org/thesaurus#1002501,formaldehyde
http://metadata.un.org/thesaurus#1002502,formamide
http://metadata.un.org/thesaurus#1002504,formic acid
http://metadata.un.org/thesaurus#1002531,freemasonry
http://metadata.un.org/thesaurus#1005376,rationalism
http://metadata.un.org/thesaurus#1002535,french
http://metadata.un.org/thesaurus#1002512,france
http://metadata.un.org/thesaurus#1002538,french franc area
http://metadata.un.org/thesaurus#1002547,friesian language
http://metadata.un.org/thesaurus#1002550,frozen assets
http://metadata.un.org/thesaurus#1000799,capital assets
http://metadata.un.org/thesaurus#1002552,frozen soil
http://metadata.un.org/thesaurus#030600,"land, plant and soil resources"
http://metadata.un.org/thesaurus#1006030,soils
http://metadata.un.org/thesaurus#1002562,fula language
http://metadata.un.org/thesaurus#1002564,functional commissions
http://metadata.un.org/thesaurus#1006260,subsidiary bodies
http://metadata.un.org/thesaurus#180200,organizational structure
http://metadata.un.org/thesaurus#1002575,futuna language
http://metadata.un.org/thesaurus#1002579,gabonese
http://metadata.un.org/thesaurus#1002578,gabon
http://metadata.un.org/thesaurus#1002580,gaelic languages
http://metadata.un.org/thesaurus#1002582,gambians
http://metadata.un.org/thesaurus#1002581,gambia
http://metadata.un.org/thesaurus#1002583,gambling
http://metadata.un.org/thesaurus#1003806,lotteries
http://metadata.un.org/thesaurus#1002599,gas storage
http://metadata.un.org/thesaurus#050600,electronics and power industries
http://metadata.un.org/thesaurus#1002595,gas industry
http://metadata.un.org/thesaurus#1002632,geocoding
http://metadata.un.org/thesaurus#030102,cartography
http://metadata.un.org/thesaurus#1002638,geographic information systems
http://metadata.un.org/thesaurus#1002661,georgian language
http://metadata.un.org/thesaurus#1002671,german language
http://metadata.un.org/thesaurus#1002674,germans
http://metadata.un.org/thesaurus#1002677,geysers
http://metadata.un.org/thesaurus#1002666,geothermal energy
http://metadata.un.org/thesaurus#1002679,ghanaians
